안전조직수준,위원회수준,인증보유,위험성평가수준,교육훈련도움,정리정돈상태,작업중지권,작업반장기여,전문지도,고용노동부감독,안전보건공단지원,공사규모,발주처,기성공정률,공사종류,외국인비율,사고발생
2,1,0,1,4,5,5,5,1,0,1,2,2,2,3,0.0,0
2,0,0,2,3,3,4,4,0,1,0,2,1,5,1,54.55,0
2,2,1,2,4,4,5,3,1,1,1,2,2,5,2,0.0,1
2,2,0,2,5,4,5,5,0,1,1,1,2,3,3,73.33,0
2,2,0,2,5,4,5,5,0,0,1,1,2,2,1,40.0,0
2,2,1,2,4,4,4,5,1,1,1,2,2,2,3,5.0,0
2,2,1,2,4,2,5,4,0,1,1,2,1,5,4,37.5,0
2,2,0,2,5,5,5,5,1,0,1,2,1,6,3,0.0,1
2,2,0,2,5,5,5,5,0,1,1,2,2,2,3,28.57,0
2,2,0,2,3,3,4,4,0,0,1,1,2,4,4,40.0,0
2,2,0,2,5,5,5,5,0,1,0,2,2,6,1,70.0,0
1,1,1,2,4,4,4,4,1,0,1,2,2,1,1,0.0,0
2,1,0,2,5,4,5,5,1,1,1,2,1,3,1,17.86,0
2,2,1,2,5,5,4,5,1,1,1,3,2,4,3,55.56,1
2,2,0,2,5,4,5,4,0,0,1,2,2,2,3,25.0,0
2,2,1,2,4,5,5,5,1,1,1,2,2,6,4,53.33,1
2,2,0,2,5,4,4,5,0,1,1,2,2,2,3,60.0,0
2,2,0,2,4,5,5,5,0,0,1,2,2,6,3,23.33,1
2,2,1,2,4,3,4,3,0,1,1,2,1,2,4,22.22,0
